Month,Mkt_RF,SMB,HML,RMW,CMA,RF
199902,-4.08,-4.90,1.56,-0.90,4.05,0.35
199903,3.45,-4.12,-2.90,-3.64,-1.43,0.43
199904,4.33,4.41,2.43,-2.70,0.94,0.37
199905,-2.46,3.76,2.68,0.67,3.28,0.34
199906,4.77,2.47,-4.19,2.14,-3.27,0.40
199907,-3.47,2.29,0.54,-0.36,3.19,0.38
199908,-1.38,-1.84,-0.88,-0.24,0.37,0.39
199909,-2.81,2.59,-3.04,-0.63,-1.06,0.39
199910,6.13,-6.85,-3.18,-1.41,-1.22,0.39
199911,3.37,6.18,-7.96,-3.28,-1.54,0.36
199912,7.72,5.72,-9.17,-7.14,-5.08,0.44
200001,-4.74,3.91,0.26,-6.87,4.67,0.41
200002,2.45,19.05,-12.61,-17.60,0.15,0.43
200003,5.20,-15.26,7.65,11.39,-1.65,0.47
200004,-6.40,-5.69,9.09,7.49,5.22,0.46
200005,-4.42,-3.62,3.72,4.03,0.91,0.50
200006,4.64,10.58,-10.02,-7.11,-2.85,0.40
200007,-2.51,-1.12,8.49,5.33,3.01,0.48
200008,7.03,-1.14,-1.23,-3.23,1.27,0.50
200009,-5.45,0.14,6.80,3.09,5.35,0.51
200010,-2.76,-2.63,4.81,8.91,3.74,0.56
200011,-10.72,-0.71,12.32,12.24,8.31,0.51
200012,1.19,3.37,6.17,1.73,4.62,0.50
200101,3.13,5.96,-5.74,-3.36,-4.79,0.54
200102,-10.05,2.47,13.88,7.65,8.93,0.38
200103,-7.26,2.31,6.35,3.26,4.01,0.42
200104,7.94,-0.82,-4.36,-2.85,-3.09,0.39
200105,0.72,3.71,2.77,-0.38,1.86,0.32
200106,-1.94,6.70,-2.27,1.93,-1.56,0.28
200107,-2.13,-2.88,5.64,7.86,3.06,0.30
200108,-6.46,2.38,3.43,2.97,6.61,0.31
200109,-9.25,-5.92,1.78,4.37,3.19,0.28
200110,2.46,5.28,-7.06,-1.36,-4.35,0.22
200111,7.54,0.04,0.76,-2.21,-1.61,0.17
200112,1.61,5.20,0.45,-0.36,-0.31,0.15
200201,-1.44,1.22,3.46,5.20,2.92,0.14
200202,-2.29,-0.88,3.92,6.15,5.18,0.13
200203,4.24,4.33,1.15,-0.96,0.66,0.13
